x1, y1, x2, y2, d, a
186, 177, 186, 176, 1.254, 0.510
38, 107, 42, 111, 5.538, -2.371
18, 140, 112, 138, 94.590, -1.556
35, 145, 40, 149, 6.235, -2.365
46, 149, 52, 153, 6.876, -2.222
162, 178, 164, 180, 3.401, -2.395
141, 171, 145, 175, 5.881, -2.240
72, 113, 141, 168, 88.913, -2.238
147, 150, 169, 165, 26.593, -2.170
154, 181, 172, 162, 25.405, -0.743
68, 118, 111, 131, 45.754, -1.861
94, 156, 102, 159, 9.066, -1.920
118, 172, 125, 174, 7.531, -1.874
92, 164, 96, 167, 5.089, -2.193
122, 163, 125, 164, 3.272, -1.846
108, 167, 114, 168, 5.917, -1.742
67, 128, 89, 168, 45.962, -2.629
67, 128, 131, 150, 67.819, -1.901
112, 138, 95, 153, 23.033, 2.281
169, 165, 175, 167, 6.796, -1.981
42, 111, 82, 133, 46.213, -2.082
63, 113, 73, 118, 11.315, -2.065
120, 139, 109, 153, 17.395, 2.469
103, 146, 36, 114, 74.060, 1.132
172, 162, 36, 114, 143.486, 1.234
111, 131, 114, 130, 2.689, -1.316
141, 168, 167, 181, 28.652, -2.039
101, 152, 95, 160, 10.247, 2.459
101, 152, 107, 156, 6.907, -2.214
102, 159, 47, 114, 71.441, 0.876
95, 165, 108, 171, 15.098, -1.964
114, 168, 118, 172, 6.411, -2.310
90, 149, 95, 168, 19.170, -2.891
125, 164, 130, 166, 5.132, -1.986
131, 150, 142, 154, 12.123, -1.872
93, 126, 99, 129, 6.720, -2.061
114, 130, 113, 163, 32.978, 3.120
127, 145, 163, 169, 43.323, -2.144
175, 167, 166, 162, 9.865, 1.000
47, 114, 108, 170, 82.632, -2.322
104, 163, 110, 168, 7.830, -2.226
73, 118, 71, 117, 1.338, 1.113
109, 153, 117, 160, 10.497, -2.280
130, 166, 150, 173, 21.600, -1.913
142, 154, 153, 158, 11.071, -1.957
82, 133, 43, 119, 41.485, 1.234
51, 115, 119, 180, 93.973, -2.334
51, 115, 126, 171, 94.155, -2.214
99, 129, 80, 114, 24.238, 0.915
98, 133, 188, 175, 98.765, -2.015
133, 183, 126, 171, 13.563, 0.564
113, 163, 120, 166, 6.815, -1.969
111, 178, 114, 167, 11.436, -0.225
110, 168, 115, 171, 6.684, -2.181
71, 117, 170, 173, 113.504, -2.083
163, 169, 155, 155, 16.601, 0.531
150, 173, 155, 175, 5.262, -1.992
153, 158, 93, 141, 62.346, 1.288
126, 171, 132, 176, 7.361, -2.283
126, 171, 142, 156, 22.057, -0.835
117, 176, 124, 180, 8.208, -2.068
115, 171, 123, 173, 8.011, -1.777
115, 171, 39, 109, 98.137, 0.882
120, 172, 53, 129, 78.906, 1.003
170, 173, 122, 172, 48.573, 1.539
135, 162, 139, 165, 5.703, -2.219
120, 166, 139, 171, 20.650, -1.836
155, 175, 154, 173, 2.420, 0.376
76, 126, 79, 128, 4.320, -2.034
139, 171, 145, 177, 7.926, -2.304
132, 176, 115, 130, 49.371, 0.347
53, 129, 139, 169, 94.662, -2.005
123, 173, 131, 178, 9.264, -2.084
164, 169, 46, 121, 127.183, 1.183
164, 169, 46, 121, 127.183, 1.183
79, 128, 81, 130, 3.295, -2.496
46, 121, 51, 126, 7.461, -2.361
46, 121, 77, 136, 33.827, -2.017
145, 177, 147, 171, 5.242, -0.269
115, 130, 124, 140, 14.052, -2.451
131, 178, 136, 180, 5.599, -2.071
151, 157, 71, 134, 83.229, 1.294
81, 130, 90, 132, 8.675, -1.789
143, 155, 143, 183, 28.442, -3.126
51, 126, 65, 129, 14.064, -1.723
87, 144, 51, 135, 36.882, 1.329
71, 134, 52, 125, 21.454, 1.120
71, 134, 86, 127, 15.766, -1.107
143, 151, 151, 154, 8.956, -1.902
147, 171, 87, 121, 77.703, 0.869
124, 140, 122, 138, 2.817, 0.644
151, 154, 69, 112, 92.520, 1.099
122, 138, 69, 112, 59.387, 1.115
69, 112, 66, 110, 3.517, 1.037
