x1, y1, x2, y2, d, a
94, 165, 41, 117, 71.470, 0.830
93, 164, 81, 167, 12.520, 1.812
93, 156, 132, 148, 39.028, -1.373
106, 168, 126, 151, 26.040, -0.872
85, 145, 91, 149, 7.178, -2.113
77, 153, 85, 156, 8.222, -1.932
170, 173, 46, 125, 132.320, 1.202
125, 151, 14, 37, 159.325, 0.774
64, 129, 123, 174, 75.339, -2.224
72, 112, 156, 149, 91.598, -1.991
23, 140, 113, 163, 92.449, -1.823
88, 156, 114, 142, 29.150, -1.100
78, 128, 66, 139, 16.392, 2.323
120, 164, 129, 162, 8.684, -1.307
82, 131, 148, 156, 70.998, -1.935
101, 142, 116, 151, 17.304, -2.104
83, 156, 87, 163, 7.827, -2.614
159, 154, 139, 137, 26.722, 0.851
122, 160, 81, 140, 45.712, 1.134
141, 151, 148, 153, 8.216, -1.910
107, 116, 28, 84, 85.639, 1.188
44, 142, 51, 147, 8.505, -2.178
137, 152, 169, 174, 39.133, -2.166
52, 133, 46, 131, 5.239, 1.300
102, 119, 106, 113, 8.046, -0.586
133, 176, 30, 145, 107.678, 1.278
71, 86, 68, 86, 2.236, 1.251
169, 162, 141, 146, 32.194, 1.022
107, 119, 107, 121, 1.801, 2.902
14, 93, 19, 99, 7.610, -2.520
94, 108, 88, 132, 25.111, 2.892
158, 54, 155, 54, 2.965, 1.269
36, 153, 33, 93, 60.109, 0.050
100, 16, 160, 173, 167.818, -2.780
92, 176, 30, 108, 91.147, 0.738
155, 49, 150, 46, 5.798, 0.991
68, 72, 66, 72, 2.291, 1.349
133, 139, 170, 154, 39.511, -1.982
99, 129, 27, 89, 82.238, 1.064
93, 98, 132, 26, 81.144, -0.501
73, 119, 45, 96, 36.057, 0.908
168, 159, 161, 156, 8.219, 1.125
129, 168, 78, 108, 79.080, 0.704
152, 21, 102, 144, 132.736, 2.753
42, 18, 37, 15, 6.070, 1.034
58, 43, 56, 42, 3.028, 1.012
77, 91, 145, 29, 91.489, -0.830
165, 164, 126, 136, 48.154, 0.958
113, 168, 88, 130, 45.303, 0.588
126, 151, 92, 135, 38.091, 1.115
91, 149, 103, 163, 18.456, -2.446
127, 152, 127, 154, 1.985, -2.718
97, 168, 50, 21, 153.760, 0.308
123, 165, 118, 158, 8.530, 0.592
148, 153, 78, 158, 70.932, 1.643
129, 162, 144, 168, 16.237, -1.932
123, 174, 138, 157, 22.464, -0.697
131, 162, 55, 107, 92.866, 0.944
141, 146, 103, 119, 46.623, 0.967
161, 156, 84, 116, 86.160, 1.093
107, 151, 85, 143, 23.431, 1.187
107, 121, 32, 88, 82.269, 1.160
107, 121, 100, 108, 14.068, 0.515
14, 37, 39, 60, 33.785, -2.307
88, 132, 43, 108, 51.225, 1.073
88, 161, 74, 71, 91.249, 0.155
85, 131, 94, 136, 10.221, -2.069
126, 136, 126, 135, 1.725, -0.019
61, 153, 55, 153, 6.695, 1.543
65, 137, 92, 127, 29.176, -1.225
169, 173, 149, 154, 27.272, 0.829
132, 158, 130, 140, 17.811, 0.088
138, 153, 144, 153, 5.795, -1.566
143, 167, 113, 131, 46.313, 0.691
30, 108, 124, 153, 103.946, -2.010
150, 46, 147, 47, 3.334, 2.092
68, 86, 38, 75, 31.832, 1.230
103, 112, 101, 109, 4.047, 0.468
132, 26, 129, 26, 3.123, 1.296
45, 96, 45, 98, 1.614, -3.011
132, 148, 50, 100, 94.120, 1.041
169, 174, 156, 168, 15.084, 1.144
152, 37, 148, 36, 4.087, 1.233
47, 131, 111, 129, 64.281, -1.542
156, 149, 118, 124, 45.647, 0.979
19, 99, 51, 128, 43.170, -2.303
70, 153, 67, 152, 3.347, 1.092
113, 163, 57, 111, 75.770, 0.813
155, 54, 152, 52, 3.753, 1.265
51, 104, 47, 99, 5.754, 0.606
78, 108, 127, 164, 74.358, -2.427
71, 52, 82, 169, 117.616, -3.043
103, 163, 70, 118, 55.545, 0.626
94, 153, 101, 157, 7.208, -2.088
107, 156, 104, 150, 7.032, 0.472
144, 151, 118, 135, 30.905, 1.014
46, 121, 176, 173, 140.006, -1.948
78, 158, 98, 112, 50.465, -0.423
50, 100, 86, 137, 51.535, -2.368
82, 169, 85, 171, 3.390, -2.133
111, 129, 173, 158, 68.604, -2.011
138, 157, 87, 138, 54.220, 1.209
43, 108, 117, 169, 96.007, -2.268
127, 164, 59, 95, 96.489, 0.779
144, 168, 152, 170, 8.501, -1.853
45, 98, 11, 32, 73.942, 0.476
156, 168, 116, 134, 51.908, 0.862
13, 35, 43, 105, 77.008, -2.736
118, 158, 133, 169, 18.605, -2.208
41, 118, 42, 119, 1.260, -2.840
103, 119, 118, 122, 15.154, -1.783
32, 88, 36, 93, 6.445, -2.479
94, 136, 84, 128, 12.588, 0.950
71, 140, 60, 134, 12.599, 1.061
85, 143, 122, 156, 39.505, -1.912
68, 158, 81, 117, 42.571, -0.317
92, 135, 145, 160, 58.317, -2.020
61, 112, 62, 113, 1.502, -2.267
147, 47, 144, 41, 7.079, 0.473
39, 60, 37, 58, 2.779, 0.878
148, 48, 36, 73, 115.256, 1.792
118, 124, 149, 170, 55.905, -2.560
129, 26, 128, 27, 1.763, 2.873
59, 149, 120, 118, 68.644, -1.102
103, 119, 150, 140, 51.918, -1.994
152, 52, 137, 147, 95.352, 2.983
70, 120, 163, 168, 104.732, -2.040
74, 71, 71, 70, 3.098, 1.435
148, 36, 144, 36, 3.715, 1.460
127, 154, 53, 117, 82.973, 1.111
50, 21, 36, 109, 88.503, 2.984
55, 153, 97, 103, 65.335, -0.703
145, 160, 152, 164, 8.684, -2.038
114, 162, 120, 164, 6.033, -1.921
70, 118, 68, 112, 5.853, 0.374
42, 119, 44, 120, 2.323, -1.849
86, 137, 68, 87, 53.128, 0.348
98, 112, 120, 129, 27.314, -2.205
81, 117, 79, 115, 3.236, 0.860
125, 157, 135, 161, 9.959, -1.924
122, 156, 120, 140, 16.134, 0.111
118, 135, 84, 122, 36.754, 1.212
152, 170, 153, 153, 17.125, -0.031
53, 117, 130, 171, 94.374, -2.186
71, 131, 173, 166, 107.588, -1.902
38, 129, 45, 130, 6.173, -1.751
97, 103, 92, 101, 5.110, 1.066
144, 46, 67, 90, 88.135, 2.092
61, 40, 113, 99, 77.960, -2.413
124, 170, 26, 114, 112.268, 1.055
144, 41, 133, 168, 127.232, 3.050
11, 32, 57, 40, 46.555, -1.727
85, 171, 63, 52, 121.124, 0.180
116, 134, 171, 157, 59.334, -1.963
60, 134, 174, 156, 116.351, -1.756
103, 128, 106, 130, 3.635, -2.156
128, 27, 124, 25, 5.328, 1.116
173, 158, 58, 127, 119.344, 1.308
120, 118, 116, 119, 3.304, 1.661
137, 27, 103, 151, 128.522, 2.874
144, 36, 142, 35, 2.516, 1.278
84, 144, 92, 148, 9.243, -2.050
59, 95, 77, 141, 49.064, -2.768
36, 93, 41, 100, 8.349, -2.428
71, 70, 65, 68, 5.448, 1.252
118, 122, 96, 98, 32.227, 0.736
45, 95, 112, 102, 68.058, -1.682
93, 142, 123, 173, 43.046, -2.376
120, 165, 150, 146, 35.118, -1.005
155, 154, 78, 140, 78.256, 1.389
153, 153, 65, 132, 89.849, 1.332
173, 166, 154, 172, 19.754, 1.864
120, 129, 83, 98, 48.282, 0.877
42, 119, 37, 117, 5.089, 1.201
104, 123, 118, 131, 15.995, -2.095
120, 161, 66, 135, 59.393, 1.116
44, 120, 22, 72, 52.477, 0.426
92, 148, 80, 162, 18.185, 2.415
84, 122, 80, 122, 4.134, 1.519
33, 121, 101, 122, 68.515, -1.572
56, 120, 62, 124, 7.435, -2.104
116, 119, 113, 119, 2.995, 1.519
91, 160, 86, 169, 9.604, 2.569
49, 112, 53, 115, 5.397, -2.389
85, 143, 96, 151, 13.332, -2.221
133, 168, 139, 33, 135.218, -0.047
68, 87, 142, 158, 101.496, -2.334
41, 100, 50, 101, 8.490, -1.721
57, 40, 124, 90, 83.258, -2.220
124, 25, 120, 23, 4.475, 1.040
56, 126, 98, 131, 42.059, -1.677
77, 141, 61, 107, 37.419, 0.450
108, 169, 113, 170, 5.862, -1.890
130, 171, 89, 124, 63.133, 0.718
63, 52, 59, 54, 4.776, 1.917
113, 99, 109, 98, 3.500, 1.430
134, 143, 64, 152, 69.798, 1.696
63, 52, 59, 50, 4.708, 1.243
124, 113, 120, 113, 4.906, 1.608
65, 68, 98, 130, 70.017, -2.665
33, 74, 75, 78, 41.408, -1.681
112, 102, 159, 124, 51.071, -2.012
92, 108, 57, 130, 42.064, 2.136
123, 173, 173, 111, 80.579, -0.682
142, 158, 64, 95, 99.277, 0.892
154, 172, 135, 162, 22.153, 1.075
118, 131, 55, 134, 62.938, 1.622
116, 142, 98, 132, 19.939, 1.093
97, 146, 100, 148, 3.074, -2.290
63, 118, 76, 127, 16.295, -2.174
62, 124, 29, 83, 52.311, 0.672
53, 38, 48, 37, 4.502, 1.478
53, 113, 61, 119, 9.830, -2.175
65, 132, 146, 46, 117.423, -0.753
89, 124, 125, 132, 37.232, -1.808
80, 122, 126, 145, 51.284, -2.029
94, 106, 91, 104, 4.647, 1.004
80, 162, 80, 163, 0.983, 2.139
135, 149, 140, 152, 5.048, -2.059
139, 33, 134, 29, 6.265, 0.921
75, 78, 71, 76, 3.821, 1.040
124, 155, 124, 154, 0.425, 0.747
65, 91, 30, 78, 37.235, 1.214
40, 14, 74, 167, 156.188, -2.924
120, 113, 116, 113, 3.285, 1.491
154, 38, 145, 73, 35.747, 2.911
120, 23, 116, 19, 5.342, 0.792
113, 119, 108, 118, 5.278, 1.529
109, 98, 106, 97, 3.820, 1.238
164, 159, 122, 128, 52.179, 0.933
50, 101, 56, 112, 12.522, -2.630
159, 124, 57, 64, 118.083, 1.038
