x1, y1, x2, y2, d, a, t
116, 53, 139, 109, 60.800, -2.750, 0
53, 156, 95, 51, 112.324, -0.384, 0
82, 31, 92, 40, 13.454, -2.304, 1
78, 32, 79, 42, 10.050, -3.042, 1
31, 33, 101, 33, 70.000, -1.571, 1
95, 34, 40, 34, 55.000, 1.571, 1
101, 38, 80, 36, 21.095, 1.476, 1
100, 38, 74, 50, 29.203, 1.979, 1
139, 109, 81, 37, 92.205, 0.675, 1
95, 51, 40, 43, 55.745, 1.412, 1
31, 31, 114, 82, 97.417, -2.122, 2
37, 31, 61, 104, 76.844, -2.824, 2
48, 31, 86, 55, 45.441, -2.135, 2
121, 32, 120, 71, 39.013, 3.116, 2
89, 33, 91, 60, 27.601, -3.048, 2
101, 33, 39, 77, 76.026, 2.188, 2
116, 33, 90, 76, 50.936, 2.606, 2
124, 33, 39, 40, 85.288, 1.653, 2
40, 34, 60, 108, 76.655, -2.878, 2
98, 34, 82, 102, 70.072, 2.912, 2
88, 35, 48, 110, 85.334, 2.666, 2
48, 36, 82, 86, 60.841, -2.547, 2
55, 36, 32, 109, 76.538, 2.836, 2
80, 36, 106, 79, 51.304, -2.587, 2
72, 38, 53, 38, 19.000, 1.571, 2
58, 39, 47, 118, 79.771, 3.010, 2
71, 40, 51, 37, 19.601, 1.427, 2
92, 40, 61, 108, 74.733, 2.714, 2
79, 42, 34, 82, 60.208, 2.297, 2
40, 43, 47, 67, 25.000, -2.858, 2
103, 43, 74, 93, 57.889, 2.634, 2
74, 50, 99, 74, 35.490, -2.339, 2
75, 54, 97, 53, 22.931, -1.539, 2
91, 117, 118, 74, 50.868, -0.578, 2
66, 37, 48, 100, 65.843, 2.880, 2
81, 37, 110, 64, 40.238, -2.327, 2
57, 38, 52, 122, 84.137, 3.085, 2
94, 38, 82, 86, 49.443, 2.899, 2
63, 39, 77, 81, 43.959, -2.814, 2
70, 39, 63, 96, 56.937, 3.004, 2
47, 67, 109, 83, 64.588, -1.829, 3
61, 32, 55, 84, 52.980, 3.034, 3
97, 105, 98, 108, 3.162, -2.820, 3
53, 38, 52, 40, 2.236, 2.678, 3
58, 39, 55, 42, 4.243, 2.356, 3
39, 40, 146, 34, 107.168, -1.515, 3
45, 44, 37, 47, 8.544, 1.930, 3
69, 44, 46, 46, 23.014, 1.661, 3
34, 46, 31, 50, 5.000, 2.498, 3
75, 47, 80, 88, 41.304, -3.020, 3
107, 48, 107, 50, 2.000, 3.142, 3
112, 49, 117, 53, 6.403, -2.246, 3
106, 50, 106, 53, 3.000, 3.142, 3
82, 100, 84, 105, 5.946, -2.799, 3
39, 52, 97, 77, 63.254, -1.979, 3
83, 98, 84, 102, 4.123, -2.897, 3
42, 54, 41, 56, 2.236, 2.678, 3
94, 54, 157, 32, 66.731, -1.235, 3
31, 55, 58, 72, 32.850, -2.135, 3
110, 55, 110, 58, 3.000, 3.142, 3
61, 57, 60, 61, 4.123, 2.897, 3
72, 96, 72, 100, 4.000, 3.142, 3
129, 57, 64, 40, 67.186, 1.315, 3
31, 59, 105, 45, 75.794, -1.393, 3
65, 59, 64, 63, 4.123, 2.897, 3
56, 60, 96, 39, 45.177, -1.087, 3
63, 96, 49, 108, 18.439, 2.279, 3
60, 61, 34, 65, 26.306, 1.723, 3
92, 61, 35, 47, 58.694, 1.330, 3
36, 64, 94, 81, 61.378, -1.862, 3
40, 65, 106, 72, 67.166, -1.675, 3
77, 94, 77, 97, 3.000, 3.142, 3
122, 65, 124, 67, 3.561, -2.237, 3
75, 94, 81, 97, 6.708, -2.034, 3
41, 31, 87, 58, 53.339, -2.102, 3
43, 68, 40, 71, 4.243, 2.356, 3
115, 69, 113, 113, 44.045, 3.096, 3
54, 70, 55, 32, 38.013, -0.026, 3
42, 71, 40, 76, 5.385, 2.761, 3
36, 92, 65, 48, 52.697, -0.583, 3
91, 72, 69, 93, 30.746, 2.350, 3
88, 73, 108, 72, 20.025, -1.521, 3
31, 76, 90, 49, 64.885, -1.142, 3
39, 77, 34, 78, 5.099, 1.768, 3
90, 77, 109, 84, 20.248, -1.924, 3
43, 78, 42, 80, 2.600, 2.747, 3
103, 89, 90, 78, 17.029, 0.869, 3
36, 88, 32, 43, 45.177, 0.089, 3
77, 80, 91, 78, 14.340, -1.431, 3
34, 82, 44, 114, 33.526, -2.839, 3
61, 108, 85, 106, 24.083, -1.488, 3
96, 60, 97, 64, 4.123, -2.897, 3
88, 34, 79, 84, 50.804, 2.963, 3
112, 74, 89, 58, 26.886, 0.968, 3
68, 71, 63, 74, 5.831, 2.111, 3
107, 79, 63, 70, 43.829, 1.384, 3
111, 59, 79, 42, 36.235, 1.082, 3
48, 37, 44, 38, 3.795, 1.893, 3
80, 39, 57, 85, 51.076, 2.666, 3
84, 40, 84, 43, 2.200, 3.142, 3
63, 42, 61, 45, 4.327, 2.554, 3
58, 44, 64, 47, 6.763, -2.050, 3
85, 44, 82, 46, 3.394, 2.356, 3
67, 45, 71, 36, 10.325, -0.377, 3
74, 46, 32, 86, 57.744, 2.317, 3
67, 48, 63, 63, 16.010, 2.915, 3
106, 48, 106, 50, 2.400, 3.142, 3
38, 52, 34, 56, 5.441, 2.200, 3
80, 52, 69, 55, 11.553, 1.789, 3
102, 52, 103, 56, 3.795, -2.820, 3
106, 52, 106, 54, 1.200, 3.142, 3
98, 54, 97, 57, 3.311, 2.705, 3
114, 54, 115, 57, 3.162, -2.820, 3
85, 55, 86, 57, 2.683, -2.678, 3
109, 55, 110, 57, 2.683, -2.678, 3
51, 57, 93, 63, 42.190, -1.722, 3
56, 57, 61, 32, 26.010, -0.178, 3
45, 58, 69, 31, 36.337, -0.700, 3
64, 58, 59, 59, 5.765, 1.612, 3
50, 60, 45, 62, 5.758, 1.926, 3
60, 61, 95, 75, 37.622, -1.946, 3
92, 61, 107, 43, 23.332, -0.676, 3
44, 64, 39, 67, 5.367, 2.034, 3
121, 64, 123, 67, 3.907, -2.400, 3
37, 67, 31, 68, 6.251, 1.699, 3
46, 67, 39, 68, 7.841, 1.673, 3
120, 67, 122, 70, 4.327, -2.554, 3
58, 69, 106, 46, 52.771, -1.107, 3
42, 70, 39, 75, 5.367, 2.678, 3
120, 70, 112, 112, 42.224, 2.959, 3
90, 72, 58, 58, 33.940, 1.170, 3
110, 72, 86, 96, 33.941, 2.356, 3
51, 73, 33, 32, 45.204, 0.424, 3
46, 74, 42, 81, 8.161, 2.513, 3
39, 76, 37, 80, 4.327, 2.554, 3
43, 78, 39, 82, 5.800, 2.332, 3
92, 78, 92, 81, 3.600, 3.142, 3
38, 82, 71, 95, 34.808, -1.929, 3
75, 93, 76, 97, 3.795, -2.820, 3
72, 96, 87, 101, 16.099, -1.926, 3
49, 110, 47, 109, 2.608, 1.004, 3
52, 122, 43, 58, 65.141, 0.151, 3
106, 47, 106, 50, 2.880, 3.142, 3
80, 51, 86, 57, 7.749, -2.304, 3
102, 51, 102, 56, 4.320, 3.142, 3
106, 51, 113, 57, 9.220, -2.246, 3
97, 53, 43, 36, 57.574, 1.266, 3
112, 53, 108, 53, 3.468, 1.654, 3
109, 54, 103, 57, 6.832, 1.911, 3
126, 57, 131, 60, 5.192, -2.159, 3
64, 59, 98, 74, 36.944, -2.000, 3
99, 66, 104, 69, 6.057, -2.159, 3
119, 67, 37, 42, 86.233, 1.268, 3
59, 69, 81, 37, 39.088, -0.615, 3
63, 69, 60, 72, 4.425, 2.279, 3
119, 70, 90, 49, 36.437, 0.944, 3
89, 72, 106, 72, 17.280, -1.571, 3
47, 73, 59, 33, 42.038, -0.277, 3
76, 80, 74, 84, 4.508, 2.678, 3
82, 86, 73, 50, 37.079, 0.242, 3
70, 90, 70, 94, 4.087, -3.083, 3
74, 93, 102, 102, 28.418, -1.872, 3
61, 96, 60, 98, 2.715, 2.356, 3
74, 97, 74, 99, 1.629, 3.000, 3
73, 102, 37, 41, 71.262, 0.537, 3
82, 102, 63, 63, 43.152, 0.449, 3
96, 105, 96, 108, 2.880, 3.142, 3
70, 55, 63, 62, 9.775, 2.356, 3
86, 55, 70, 42, 20.497, 0.865, 3
126, 57, 129, 60, 4.888, -2.356, 3
91, 60, 79, 87, 30.032, 2.717, 3
100, 65, 98, 57, 8.811, 0.197, 3
107, 70, 107, 72, 1.728, 3.142, 3
96, 74, 91, 77, 6.230, 2.159, 3
82, 86, 82, 89, 3.456, 3.142, 3
67, 93, 69, 93, 1.728, -1.571, 3
84, 98, 160, 35, 98.519, -0.870, 3
82, 101, 84, 101, 1.728, -1.571, 3
