x1, y1, x2, y2
93, 164, 81, 167
106, 168, 126, 151
85, 145, 91, 149
77, 153, 85, 156
40, 114, 41, 117
88, 156, 114, 142
121, 164, 129, 162
78, 128, 66, 139
101, 142, 116, 151
83, 156, 88, 161
82, 119, 115, 124
110, 157, 97, 168
141, 151, 148, 153
107, 116, 107, 121
52, 131, 47, 131
44, 142, 51, 147
137, 152, 169, 173
52, 133, 47, 131
169, 162, 141, 146
102, 119, 106, 112
71, 86, 68, 86
14, 93, 19, 99
147, 31, 145, 29
158, 54, 155, 54
94, 108, 88, 132
155, 49, 152, 37
154, 47, 150, 46
133, 139, 170, 154
168, 159, 139, 137
73, 119, 45, 96
58, 43, 56, 42
78, 91, 66, 72
42, 18, 37, 15
91, 149, 103, 163
129, 162, 144, 168
123, 174, 138, 157
14, 37, 39, 60
107, 121, 100, 108
85, 131, 94, 136
126, 136, 126, 135
61, 153, 68, 158
65, 137, 92, 127
169, 173, 149, 155
132, 158, 130, 140
138, 153, 144, 153
68, 86, 38, 75
150, 46, 147, 47
103, 112, 101, 109
176, 166, 180, 168
132, 26, 129, 26
45, 96, 45, 98
169, 174, 156, 168
77, 73, 74, 71
152, 37, 148, 36
64, 110, 74, 116
70, 153, 67, 152
155, 54, 152, 52
94, 153, 101, 157
107, 156, 104, 150
144, 151, 118, 135
82, 169, 85, 171
144, 168, 153, 170
101, 109, 95, 104
118, 158, 133, 169
41, 118, 42, 119
40, 98, 43, 105
32, 88, 36, 93
94, 136, 84, 128
71, 140, 39, 129
85, 143, 122, 156
68, 158, 81, 117
61, 112, 62, 113
147, 47, 144, 41
39, 60, 37, 58
57, 112, 53, 117
129, 26, 128, 27
74, 71, 71, 70
148, 36, 144, 36
61, 96, 45, 95
145, 160, 152, 164
114, 162, 120, 164
70, 118, 67, 115
42, 119, 44, 120
98, 112, 120, 129
81, 117, 79, 115
125, 157, 135, 161
152, 170, 153, 153
122, 156, 120, 140
118, 135, 83, 124
53, 117, 92, 108
39, 129, 45, 130
149, 170, 155, 173
97, 103, 92, 101
103, 128, 106, 130
128, 27, 124, 25
82, 161, 84, 122
144, 36, 142, 35
59, 95, 57, 95
84, 144, 92, 148
36, 93, 41, 100
116, 103, 112, 102
120, 118, 116, 119
118, 122, 96, 98
71, 70, 65, 68
94, 149, 103, 151
120, 165, 150, 146
42, 119, 37, 117
120, 129, 89, 124
104, 123, 118, 131
152, 164, 126, 149
92, 148, 80, 162
84, 122, 80, 122
56, 120, 62, 124
116, 119, 113, 119
49, 112, 63, 118
41, 100, 49, 101
42, 133, 57, 130
124, 25, 120, 23
