x1, y1, x2, y2
85, 145, 91, 149
77, 153, 85, 156
40, 114, 41, 117
121, 164, 129, 162
83, 156, 88, 161
141, 151, 148, 153
107, 116, 107, 121
52, 131, 47, 131
44, 142, 51, 147
52, 133, 47, 131
102, 119, 106, 112
71, 86, 68, 86
14, 93, 19, 99
147, 31, 145, 29
158, 54, 155, 54
154, 47, 150, 46
58, 43, 56, 42
42, 18, 37, 15
126, 136, 126, 135
61, 153, 68, 158
138, 153, 144, 153
150, 46, 147, 47
103, 112, 101, 109
176, 166, 180, 168
132, 26, 129, 26
45, 96, 45, 98
77, 73, 74, 71
152, 37, 148, 36
70, 153, 67, 152
155, 54, 152, 52
94, 153, 101, 157
107, 156, 104, 150
82, 169, 85, 171
144, 168, 153, 170
101, 109, 95, 104
41, 118, 42, 119
40, 98, 43, 105
32, 88, 36, 93
61, 112, 62, 113
147, 47, 144, 41
39, 60, 37, 58
57, 112, 53, 117
129, 26, 128, 27
74, 71, 71, 70
148, 36, 144, 36
145, 160, 152, 164
114, 162, 120, 164
70, 118, 67, 115
42, 119, 44, 120
81, 117, 79, 115
125, 157, 135, 161
39, 129, 45, 130
149, 170, 155, 173
97, 103, 92, 101
103, 128, 106, 130
128, 27, 124, 25
144, 36, 142, 35
59, 95, 57, 95
84, 144, 92, 148
36, 93, 41, 100
116, 103, 112, 102
120, 118, 116, 119
71, 70, 65, 68
94, 149, 103, 151
42, 119, 37, 117
84, 122, 80, 122
56, 120, 62, 124
116, 119, 113, 119
41, 100, 49, 101
124, 25, 120, 23
108, 169, 113, 170
63, 52, 60, 50
113, 99, 109, 98
63, 52, 59, 54
124, 113, 120, 113
97, 146, 100, 148
118, 131, 122, 128
53, 38, 48, 37
53, 113, 61, 119
94, 106, 91, 104
80, 162, 80, 163
135, 149, 140, 152
75, 78, 71, 76
139, 33, 134, 29
124, 155, 124, 154
120, 113, 116, 113
120, 23, 116, 19
113, 119, 108, 118
109, 98, 105, 97
59, 54, 53, 54
124, 90, 120, 90
71, 112, 69, 115
48, 37, 45, 33
124, 154, 129, 162
69, 132, 76, 134
42, 121, 47, 127
78, 120, 81, 124
134, 29, 131, 27
57, 64, 54, 64
71, 76, 69, 74
80, 163, 79, 163
117, 21, 114, 19
100, 148, 99, 146
132, 154, 132, 154
120, 90, 117, 89
105, 97, 103, 97
44, 22, 42, 20
99, 146, 100, 152
143, 157, 150, 151
90, 92, 86, 100
45, 33, 44, 32
143, 71, 142, 71
69, 74, 67, 73
124, 102, 123, 101
