nm, pm
2, 2
8, 7
30, 30
152, 124
68, 67
45, 43
48, 45
56, 53
44, 43
36, 35
27, 26
27, 24
18, 13
11, 9
4, 4
4, 4
5, 4
6, 6
9, 9
26, 24
38, 32
36, 32
14, 14
12, 10
10, 7
12, 12
12, 12
5, 5
9, 9
22, 22
44, 42
77, 69
114, 105
139, 129
138, 129
159, 154
197, 164
173, 155
132, 130
108, 103
93, 86
48, 46
23, 19
17, 17
15, 15
18, 18
9, 9
9, 8
11, 10
19, 19
73, 73
108, 102
109, 96
105, 88
86, 75
3, 3
3, 3
4, 4
5, 4
4, 3
5, 5
3, 3
4, 4
2, 2
4, 4
6, 6
0, 0
0, 0
7, 7
8, 8
7, 7
1, 1
2, 2
5, 5
30, 30
19, 18
19, 18
49, 42
73, 67
68, 68
63, 62
111, 103
82, 72
47, 45
40, 39
42, 34
40, 37
0, 0
0, 0
169, 166
180, 177
153, 140
26, 26
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
2, 2
3, 3
11, 11
35, 34
69, 64
151, 142
76, 74
69, 66
57, 55
35, 34
38, 30
37, 37
72, 65
106, 96
137, 118
107, 106
30, 28
10, 10
14, 11
27, 27
127, 104
126, 116
157, 141

