nm, pm
73, 40
81, 62
74, 45
93, 77
51, 33
51, 38
75, 45
69, 47
69, 43
52, 30
37, 26
34, 28
38, 34
32, 27
31, 22
36, 18
40, 33
35, 24
44, 29
51, 32
47, 38
36, 20
20, 14
12, 9
11, 8
17, 12
30, 22
31, 23
32, 18
47, 32
59, 42
68, 55
81, 48
92, 64
97, 59
113, 75
149, 122
134, 84
97, 60
97, 55
95, 49
80, 49
56, 30
45, 30
48, 28
60, 37
55, 37
54, 35
63, 42
71, 44
86, 55
88, 59
89, 65
89, 74
72, 55
23, 13
21, 13
33, 20
81, 52
83, 50
87, 57
75, 45
58, 33
64, 39
81, 48
72, 43
50, 29
53, 34
61, 44
67, 43
51, 33
40, 27
40, 24
43, 35
51, 34
58, 36
55, 37
66, 58
61, 44
49, 31
68, 45
79, 57
78, 48
54, 35
55, 37
60, 50
65, 56
54, 35
77, 48
118, 73
110, 69
95, 52
62, 38
52, 31
52, 33
35, 28
37, 26
40, 30
38, 28
25, 16
44, 26
87, 54
85, 51
105, 65
119, 79
88, 59
78, 43
81, 54
55, 35
63, 44
62, 39
69, 45
78, 60
81, 61
91, 60
85, 54
83, 48
100, 77
107, 70
109, 92
101, 57
108, 64

