x1, y1, x2, y2, d, a, t
92, 51, 105, 68, 21.916, -2.464, 0
111, 101, 129, 124, 29.648, -2.480, 0
161, 54, 158, 83, 28.795, 3.009, 0
54, 18, 54, 30, 11.790, 3.121, 1
73, 16, 73, 26, 10.313, 3.120, 1
97, 22, 105, 29, 9.870, -2.320, 1
19, 14, 13, 24, 12.623, 2.606, 1
85, 38, 87, 51, 12.936, -2.962, 1
23, 11, 19, 23, 12.298, 2.835, 1
62, 28, 64, 41, 13.408, -2.948, 1
56, 36, 49, 50, 14.851, 2.675, 1
21, 70, 21, 82, 12.380, -3.138, 1
149, 150, 140, 147, 10.090, 1.273, 1
156, 117, 162, 104, 13.837, -0.445, 1
169, 148, 159, 153, 11.156, 2.015, 1
127, 130, 133, 120, 12.205, -0.588, 1
116, 87, 128, 82, 13.214, -1.184, 1
70, 155, 58, 161, 12.980, 2.053, 1
94, 69, 84, 72, 9.577, 1.802, 1
54, 30, 34, 35, 19.932, 1.858, 2
117, 25, 111, 45, 21.539, 2.856, 2
91, 22, 92, 45, 23.542, -3.129, 2
28, 18, 21, 34, 17.981, 2.700, 2
34, 18, 34, 36, 17.680, 3.128, 2
79, 84, 82, 104, 20.203, -2.981, 2
84, 26, 61, 39, 27.208, 2.082, 2
122, 48, 131, 23, 26.362, -0.326, 2
13, 24, 33, 21, 20.456, -1.429, 2
93, 78, 116, 84, 23.902, -1.802, 2
21, 93, 17, 98, 6.457, 2.298, 3
159, 32, 159, 39, 6.422, -3.119, 3
13, 58, 11, 65, 7.789, 2.952, 3
34, 92, 30, 97, 6.964, 2.422, 3
16, 74, 13, 82, 8.013, 2.748, 3
34, 35, 28, 38, 6.598, 1.934, 3
33, 102, 31, 108, 6.363, 2.850, 3
31, 117, 28, 127, 10.197, 2.866, 3
145, 22, 153, 27, 9.616, -2.175, 3
78, 17, 73, 25, 10.346, 2.596, 3
116, 38, 110, 39, 6.453, 1.881, 3
66, 47, 79, 37, 16.312, -0.871, 4
64, 65, 65, 43, 21.775, -0.040, 4
54, 27, 51, 41, 15.068, 2.922, 4
91, 31, 90, 12, 19.040, 0.043, 4
158, 126, 143, 128, 15.672, 1.689, 4
40, 33, 41, 14, 19.011, -0.083, 5
145, 30, 126, 27, 20.020, 1.400, 5
111, 18, 95, 27, 18.418, 2.074, 5
95, 66, 93, 50, 15.839, 0.085, 6
91, 46, 95, 59, 13.452, -2.854, 6
141, 60, 154, 61, 12.358, -1.680, 6
58, 91, 68, 95, 11.739, -1.958, 6
37, 62, 55, 62, 18.193, -1.588, 6
33, 108, 34, 92, 16.122, -0.063, 6
48, 104, 29, 104, 18.903, 1.616, 6
156, 18, 146, 20, 11.119, 1.748, 6
13, 84, 30, 89, 17.197, -1.839, 6
29, 75, 16, 81, 14.810, 2.001, 7
