x1, y1, x2, y2, d, a, t, dc
51, 115, 119, 180, 94.011, -2.334, 0, 0.722
51, 115, 126, 171, 94.187, -2.215, 0, 0.800
99, 129, 80, 114, 24.156, 0.916, 0, 0.793
98, 133, 188, 175, 98.782, -2.015, 0, 0.903
133, 183, 126, 171, 13.579, 0.564, 0, 0.535
113, 163, 120, 166, 6.851, -1.966, 0, 0.923
111, 178, 114, 167, 11.411, -0.221, 0, 0.219
110, 168, 115, 171, 6.692, -2.177, 0, 0.822
71, 117, 170, 173, 113.486, -2.083, 0, 0.872
150, 173, 155, 175, 5.255, -1.996, 0, 0.911
152, 158, 93, 141, 62.350, 1.287, 0, 0.960
114, 167, 152, 180, 39.979, -1.896, 1, 0.948
126, 171, 132, 176, 7.337, -2.283, 1, 0.757
126, 171, 142, 156, 22.073, -0.834, 1, 0.741
117, 176, 124, 180, 8.217, -2.070, 1, 0.878
115, 171, 123, 173, 7.986, -1.779, 1, 0.978
115, 171, 39, 109, 98.142, 0.882, 1, 0.772
120, 172, 53, 129, 78.866, 1.003, 1, 0.843
80, 114, 139, 165, 77.909, -2.280, 1, 0.759
135, 162, 139, 165, 5.727, -2.219, 1, 0.797
120, 166, 140, 171, 20.631, -1.836, 1, 0.965
155, 175, 154, 173, 2.412, 0.376, 1, 0.367
93, 141, 122, 172, 42.560, -2.387, 1, 0.685
76, 126, 79, 128, 4.285, -2.032, 1, 0.896
140, 171, 145, 177, 7.928, -2.306, 2, 0.742
132, 176, 115, 130, 49.356, 0.347, 2, 0.340
53, 129, 139, 169, 94.665, -2.006, 2, 0.907
128, 148, 128, 143, 5.554, -0.021, 2, 0.021
123, 173, 131, 178, 9.304, -2.084, 2, 0.871
142, 156, 128, 143, 19.631, 0.815, 2, 0.728
164, 169, 46, 121, 127.242, 1.183, 2, 0.926
164, 169, 46, 121, 127.242, 1.183, 2, 0.926
79, 128, 81, 130, 3.251, -2.500, 2, 0.598
