x1, y1, x2, y2, d, a, t, dc
145, 160, 152, 164, 8.764, -2.034, 0, 0.894
114, 162, 120, 164, 6.066, -1.919, 0, 0.940
70, 118, 67, 115, 4.443, 0.811, 0, 0.725
42, 119, 44, 120, 2.337, -1.865, 0, 0.957
86, 137, 68, 87, 53.089, 0.347, 0, 0.340
98, 112, 120, 129, 27.335, -2.204, 0, 0.806
81, 117, 79, 115, 3.216, 0.861, 0, 0.758
125, 157, 135, 161, 9.950, -1.924, 0, 0.938
152, 170, 153, 153, 17.118, -0.032, 0, 0.032
122, 156, 120, 140, 16.117, 0.110, 0, 0.110
118, 135, 83, 124, 37.333, 1.279, 0, 0.958
62, 113, 173, 166, 122.834, -2.021, 0, 0.900
53, 117, 92, 108, 40.234, -1.348, 0, 0.975
39, 129, 45, 130, 6.125, -1.742, 0, 0.985
149, 170, 155, 173, 7.158, -2.058, 0, 0.884
97, 103, 92, 101, 5.085, 1.076, 0, 0.880
144, 46, 33, 74, 113.618, 1.818, 0, 0.970
124, 170, 26, 114, 112.244, 1.055, 0, 0.870
144, 41, 133, 168, 127.072, 3.051, 0, 0.091
61, 40, 113, 99, 77.978, -2.413, 0, 0.666
11, 32, 57, 40, 46.386, -1.730, 0, 0.987
85, 171, 63, 52, 120.574, 0.183, 0, 0.182
116, 134, 171, 157, 59.204, -1.963, 0, 0.924
60, 134, 174, 156, 116.362, -1.756, 0, 0.983
103, 128, 106, 130, 3.639, -2.152, 0, 0.836
128, 27, 124, 25, 5.390, 1.105, 0, 0.894
137, 27, 86, 171, 152.266, 2.795, 0, 0.340
173, 158, 82, 161, 91.342, 1.598, 0, 1.000
82, 161, 84, 122, 38.575, -0.045, 0, 0.045
144, 36, 142, 35, 2.488, 1.275, 0, 0.957
59, 95, 57, 95, 2.182, 1.519, 0, 0.999
171, 76, 33, 121, 145.044, 1.884, 0, 0.951
84, 144, 92, 148, 9.226, -2.051, 0, 0.887
36, 93, 41, 100, 8.349, -2.427, 0, 0.655
116, 103, 112, 102, 3.356, 1.544, 0, 1.000
120, 118, 116, 119, 3.457, 1.687, 0, 0.993
118, 122, 96, 98, 32.276, 0.737, 0, 0.672
71, 70, 65, 68, 5.470, 1.241, 0, 0.946
45, 95, 77, 141, 56.547, -2.533, 0, 0.572
94, 149, 103, 151, 9.635, -1.857, 0, 0.959
93, 142, 123, 173, 43.019, -2.376, 1, 0.693
120, 165, 150, 146, 35.215, -1.004, 1, 0.844
155, 154, 78, 140, 78.103, 1.387, 1, 0.983
153, 153, 65, 132, 89.853, 1.332, 1, 0.972
173, 166, 86, 169, 86.945, 1.596, 1, 1.000
42, 119, 37, 117, 5.182, 1.188, 1, 0.928
120, 129, 89, 124, 32.159, 1.417, 1, 0.988
104, 123, 118, 131, 16.015, -2.096, 1, 0.865
120, 161, 66, 135, 59.419, 1.115, 1, 0.898
152, 164, 126, 149, 30.351, 1.057, 1, 0.871
44, 120, 22, 72, 52.520, 0.425, 1, 0.412
92, 148, 80, 162, 18.182, 2.417, 1, 0.663
84, 122, 80, 122, 4.107, 1.518, 1, 0.999
56, 120, 62, 124, 7.408, -2.097, 1, 0.865
116, 119, 113, 119, 2.985, 1.548, 1, 1.000
