nm, pm
2, 1
8, 5
30, 20
152, 128
68, 42
45, 32
48, 34
56, 36
44, 28
36, 24
27, 21
27, 21
18, 14
11, 9
4, 2
4, 2
5, 4
6, 3
9, 6
26, 22
38, 33
36, 25
14, 8
12, 9
10, 8
12, 8
12, 7
5, 4
9, 6
22, 14
44, 25
77, 47
114, 72
139, 92
138, 88
159, 106
197, 161
173, 116
132, 86
108, 67
93, 61
48, 37
23, 13
17, 13
15, 9
18, 14
9, 5
9, 5
11, 8
19, 12
73, 46
108, 68
109, 84
105, 88
86, 59
3, 1
3, 2
4, 2
5, 4
4, 3
5, 4
3, 2
4, 3
2, 2
4, 2
6, 2
0, 0
0, 0
7, 5
8, 5
7, 5
1, 1
2, 2
5, 3
30, 19
19, 13
19, 13
49, 36
73, 52
68, 42
63, 42
111, 76
82, 57
47, 29
40, 27
42, 32
40, 26
0, 0
0, 0
169, 104
180, 113
153, 93
26, 17
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
2, 2
3, 2
11, 8
35, 23
69, 47
151, 96
76, 50
69, 46
57, 36
35, 22
38, 26
37, 23
72, 49
106, 89
137, 114
107, 78
30, 24
10, 6
14, 11
27, 16
127, 101
126, 84
157, 109

