kpts, pt, std, mean
3, 0.00646, 17.278, 80.661
9, 0.00545, 29.499, 86.101
34, 0.00594, 32.422, 87.962
264, 0.01140, 40.330, 96.585
249, 0.01100, 37.782, 94.817
98, 0.00758, 29.899, 81.526
90, 0.00720, 27.190, 82.833
101, 0.00745, 29.338, 86.787
139, 0.00844, 24.505, 85.473
68, 0.00660, 13.979, 75.842
79, 0.00676, 18.730, 73.936
57, 0.00617, 24.553, 74.916
44, 0.00626, 22.857, 74.464
23, 0.00544, 22.975, 74.764
19, 0.00527, 22.820, 74.930
7, 0.00498, 24.078, 76.250
9, 0.00519, 23.942, 77.638
10, 0.00508, 24.035, 77.737
10, 0.00498, 19.892, 76.775
58, 0.00609, 15.306, 74.361
59, 0.00617, 12.884, 71.945
66, 0.00630, 13.084, 71.881
81, 0.00678, 14.070, 71.346
21, 0.00524, 9.292, 68.471
24, 0.00528, 8.531, 68.571
18, 0.00512, 8.285, 68.739
22, 0.00534, 8.733, 71.964
22, 0.00524, 9.067, 69.728
10, 0.00500, 9.021, 68.528
34, 0.00557, 11.093, 70.073
57, 0.00640, 20.356, 77.502
129, 0.00828, 25.252, 84.249
167, 0.00906, 26.956, 86.099
239, 0.01076, 30.444, 89.783
258, 0.01109, 33.433, 92.991
286, 0.01200, 34.772, 96.964
340, 0.01412, 31.712, 98.015
333, 0.01414, 31.299, 96.938
315, 0.01377, 30.110, 96.289
244, 0.01129, 26.606, 87.598
206, 0.00990, 22.167, 82.673
166, 0.00900, 18.753, 80.030
75, 0.00674, 12.755, 74.997
40, 0.00585, 12.101, 75.059
28, 0.00535, 11.446, 75.441
33, 0.00549, 12.733, 76.260
24, 0.00554, 12.550, 74.329
12, 0.00497, 10.912, 73.602
20, 0.00518, 12.317, 76.257
22, 0.00533, 15.407, 80.166
93, 0.00703, 20.665, 84.395
220, 0.00979, 26.088, 89.519
204, 0.00985, 25.660, 90.009
201, 0.00973, 24.464, 88.272
180, 0.00934, 24.374, 87.102
146, 0.00989, 23.249, 85.090
3, 0.00473, 9.065, 71.808
6, 0.00479, 9.589, 72.442
11, 0.00495, 10.868, 77.979
5, 0.00485, 11.329, 77.678
5, 0.00483, 10.977, 76.651
11, 0.00490, 10.397, 75.822
5, 0.00525, 11.258, 75.825
8, 0.00497, 10.936, 74.662
4, 0.00484, 11.293, 79.937
17, 0.00515, 11.425, 78.623
0, 0.00489, 10.671, 76.059
0, 0.00259, 10.878, 75.161
8, 0.00498, 10.833, 74.568
21, 0.00539, 10.787, 80.545
21, 0.00622, 11.536, 80.726
12, 0.00506, 11.632, 78.598
2, 0.00470, 11.649, 76.192
5, 0.00529, 19.301, 77.733
46, 0.00620, 20.450, 79.154
129, 0.00785, 16.541, 79.505
25, 0.00844, 23.551, 82.975
90, 0.01103, 28.380, 83.783
99, 0.00769, 27.346, 83.404
263, 0.01061, 21.245, 80.019
101, 0.00751, 17.736, 77.488
196, 0.00983, 29.908, 87.980
226, 0.01040, 28.551, 88.150
139, 0.00849, 22.879, 85.705
76, 0.00693, 17.989, 78.593
76, 0.00670, 15.798, 79.556
76, 0.00675, 16.842, 80.633
0, 0.00652, 17.558, 81.142
0, 0.00276, 18.641, 82.953
297, 0.01229, 30.730, 105.930
371, 0.01527, 29.583, 95.902
323, 0.01259, 26.855, 89.768
284, 0.01171, 23.543, 87.811
30, 0.00570, 12.035, 80.093
1, 0.00467, 10.670, 78.263
2, 0.00484, 10.877, 77.693
1, 0.00466, 10.860, 77.193
9, 0.00499, 10.859, 75.266
1, 0.00471, 9.859, 74.348
4, 0.00484, 11.831, 76.466
3, 0.00470, 12.805, 79.257
13, 0.00519, 16.131, 85.928
47, 0.00661, 14.348, 87.463
82, 0.00700, 18.867, 88.671
319, 0.01320, 36.791, 99.254
256, 0.01164, 30.029, 92.888
151, 0.00917, 25.388, 88.699
144, 0.00877, 22.766, 87.277
91, 0.00736, 20.976, 85.186
67, 0.00668, 22.574, 84.334
63, 0.00658, 24.214, 85.042
111, 0.00787, 29.129, 87.597
161, 0.00889, 27.626, 84.916
251, 0.01090, 28.032, 84.520
236, 0.01070, 29.698, 85.314
210, 0.00983, 22.456, 87.521
36, 0.00592, 24.832, 91.460
18, 0.00567, 29.079, 96.263
31, 0.00596, 29.632, 97.896
208, 0.01021, 34.471, 102.212
222, 0.01050, 35.420, 102.834
308, 0.01268, 37.537, 104.325
299, 0.01258, 38.071, 105.143

