x1, y1, x2, y2, d, a, t, dc
55, 31, 54, 33, 2.236, 2.678, 0, 0.447
59, 32, 62, 31, 3.162, -1.249, 0, 0.949
48, 34, 90, 48, 45.264, -1.908, 0, 0.944
75, 34, 133, 34, 58.000, -1.571, 0, 1.000
51, 36, 50, 37, 1.414, 2.356, 0, 0.707
67, 36, 83, 51, 21.932, -2.324, 0, 0.730
48, 37, 47, 41, 4.123, 2.897, 0, 0.243
64, 38, 63, 40, 2.236, 2.678, 0, 0.447
83, 39, 128, 35, 45.177, -1.482, 0, 0.996
134, 39, 135, 43, 4.123, -2.897, 0, 0.243
86, 40, 119, 31, 34.205, -1.305, 0, 0.965
35, 42, 74, 58, 42.832, -1.974, 0, 0.920
82, 43, 80, 50, 7.571, 2.929, 0, 0.211
31, 45, 97, 47, 66.967, -1.608, 0, 0.999
118, 46, 119, 51, 5.099, -2.944, 0, 0.196
121, 47, 121, 52, 5.803, -3.107, 0, 0.034
106, 51, 108, 54, 4.224, -2.648, 0, 0.474
111, 53, 102, 64, 14.213, 2.456, 0, 0.633
159, 55, 118, 138, 92.223, 2.691, 0, 0.436
63, 56, 59, 37, 19.416, 0.207, 0, 0.206
96, 58, 88, 45, 15.264, 0.552, 0, 0.524
34, 59, 35, 63, 4.123, -2.897, 0, 0.243
116, 59, 81, 64, 35.355, 1.713, 0, 0.990
40, 67, 41, 71, 4.123, -2.897, 0, 0.243
135, 67, 154, 124, 60.083, -2.820, 0, 0.316
58, 92, 32, 64, 38.210, 0.748, 0, 0.680
115, 135, 119, 138, 5.000, -2.214, 0, 0.800
48, 37, 46, 42, 4.948, 2.897, 0, 0.243
133, 39, 134, 43, 3.795, -2.820, 0, 0.316
118, 45, 116, 42, 4.561, 0.661, 0, 0.614
121, 46, 69, 36, 53.306, 1.367, 0, 0.979
116, 51, 72, 37, 46.739, 1.253, 0, 0.950
102, 58, 115, 40, 22.321, -0.633, 0, 0.591
116, 58, 35, 46, 82.400, 1.415, 0, 0.988
135, 66, 138, 67, 2.600, -1.966, 0, 0.923
38, 69, 40, 64, 5.367, -0.464, 0, 0.447
142, 116, 134, 108, 11.002, 0.816, 0, 0.729
151, 122, 142, 67, 56.159, 0.165, 0, 0.164
119, 47, 67, 34, 54.232, 1.319, 0, 0.968
105, 50, 106, 48, 2.930, -0.611, 0, 0.573
110, 53, 64, 34, 50.690, 1.181, 0, 0.925
115, 59, 62, 36, 57.975, 1.162, 0, 0.918
135, 66, 74, 58, 61.911, 1.437, 0, 0.991
132, 106, 135, 109, 4.087, -2.273, 0, 0.763
110, 53, 105, 57, 6.797, 2.206, 0, 0.805
79, 63, 80, 64, 1.440, -2.214, 0, 0.800
133, 107, 135, 109, 3.258, -2.356, 0, 0.707
62, 31, 61, 34, 3.162, 2.820, 1, 0.316
119, 31, 130, 37, 13.330, -2.055, 1, 0.885
125, 32, 120, 56, 24.495, 2.976, 1, 0.165
64, 34, 61, 38, 5.000, 2.498, 1, 0.600
72, 35, 111, 58, 46.202, -2.112, 1, 0.857
75, 36, 76, 43, 7.422, -2.897, 1, 0.243
50, 37, 52, 37, 2.807, -1.642, 1, 0.997
72, 37, 77, 37, 5.000, -1.571, 1, 1.000
125, 37, 127, 38, 2.608, -2.138, 1, 0.844
55, 39, 72, 69, 34.482, -2.626, 1, 0.493
74, 39, 63, 63, 26.582, 2.730, 1, 0.400
115, 40, 123, 38, 8.748, -1.387, 1, 0.983
47, 41, 44, 45, 5.000, 2.498, 1, 0.600
50, 41, 49, 42, 1.281, 2.467, 1, 0.625
116, 42, 87, 52, 30.676, 1.903, 1, 0.945
121, 43, 66, 42, 55.009, 1.553, 1, 1.000
88, 45, 86, 47, 2.828, 2.356, 1, 0.707
117, 45, 127, 34, 14.866, -0.738, 1, 0.673
60, 48, 57, 51, 4.243, 2.356, 1, 0.707
48, 51, 57, 60, 13.159, -2.324, 1, 0.730
66, 53, 82, 48, 17.528, -1.282, 1, 0.958
103, 53, 86, 52, 16.601, 1.559, 1, 1.000
109, 54, 103, 79, 25.859, 2.915, 1, 0.224
64, 55, 58, 60, 7.810, 2.266, 1, 0.768
41, 65, 55, 85, 24.413, -2.531, 1, 0.573
41, 71, 42, 68, 2.786, -0.367, 1, 0.359
135, 109, 144, 114, 10.296, -2.078, 1, 0.874
146, 120, 61, 103, 86.683, 1.373, 1, 0.981
58, 37, 57, 44, 7.034, 2.883, 1, 0.256
72, 37, 69, 42, 5.660, 2.583, 1, 0.530
115, 40, 114, 43, 2.683, 2.678, 1, 0.447
46, 42, 159, 131, 143.213, -2.241, 1, 0.783
120, 42, 120, 47, 5.603, -2.969, 1, 0.171
134, 43, 135, 46, 3.795, -2.820, 1, 0.316
87, 45, 89, 55, 9.504, -2.994, 1, 0.147
106, 48, 108, 54, 6.119, -2.944, 1, 0.196
80, 50, 119, 55, 38.873, -1.689, 1, 0.993
108, 54, 52, 46, 55.668, 1.441, 1, 0.992
111, 54, 53, 37, 61.016, 1.288, 1, 0.960
74, 58, 121, 48, 47.835, -1.343, 1, 0.974
40, 64, 44, 46, 19.110, -0.202, 1, 0.201
81, 64, 40, 145, 90.160, 2.672, 1, 0.453
141, 66, 54, 86, 89.944, 1.800, 1, 0.974
39, 73, 39, 80, 6.826, 3.054, 1, 0.088
135, 109, 35, 62, 111.122, 1.132, 1, 0.905
145, 118, 149, 123, 5.664, -2.406, 1, 0.671
87, 44, 61, 55, 28.770, 1.939, 1, 0.933
97, 47, 97, 52, 5.329, 3.006, 1, 0.135
106, 47, 48, 31, 60.846, 1.296, 1, 0.962
59, 48, 60, 51, 3.220, -2.678, 1, 0.447
90, 48, 89, 54, 5.937, 2.897, 1, 0.243
120, 51, 120, 57, 5.184, -3.142, 1, 0.000
105, 57, 56, 33, 54.936, 1.106, 1, 0.894
72, 59, 84, 74, 20.466, -2.456, 1, 0.633
80, 64, 80, 65, 0.671, 1.874, 1, 0.954
135, 109, 138, 111, 3.066, -2.105, 1, 0.861
145, 119, 53, 86, 97.660, 1.225, 1, 0.941
