nm, pm
27, 22
50, 43
72, 68
146, 121
114, 107
82, 74
83, 78
90, 85
64, 57
54, 53
38, 36
28, 27
35, 28
35, 29
31, 26
23, 20
29, 26
16, 14
26, 23
39, 35
35, 28
35, 34
23, 23
16, 13
20, 17
15, 14
13, 13
13, 13
21, 19
40, 36
93, 86
110, 95
134, 124
144, 125
165, 153
193, 186
270, 220
246, 234
164, 160
119, 110
87, 80
40, 39
16, 14
12, 12
11, 10
22, 22
11, 11
8, 6
11, 11
28, 27
58, 55
84, 80
104, 89
96, 73
88, 77
3, 3
2, 2
4, 4
1, 1
1, 1
1, 1
1, 1
5, 5
5, 5
9, 9
9, 9
4, 4
8, 8
16, 15
16, 15
10, 8
4, 4
6, 6
51, 47
65, 62
66, 63
77, 72
114, 93
79, 73
68, 65
75, 71
114, 99
110, 99
76, 72
53, 48
53, 42
39, 31
18, 16
28, 27
175, 171
145, 140
116, 103
33, 31
3, 3
2, 2
3, 3
2, 2
3, 3
3, 3
3, 3
3, 3
24, 24
35, 35
75, 74
157, 148
114, 109
101, 94
80, 75
60, 58
60, 49
69, 64
80, 68
100, 86
118, 102
98, 98
71, 70
56, 51
63, 51
79, 74
141, 121
137, 123
158, 143

