nm, pm
27, 21
50, 43
72, 47
146, 121
114, 76
82, 61
83, 54
90, 54
64, 41
54, 35
38, 23
28, 20
35, 29
35, 31
31, 26
23, 20
29, 27
16, 12
26, 21
39, 30
35, 30
35, 22
23, 14
16, 13
20, 17
15, 10
13, 7
13, 8
21, 14
40, 32
93, 58
110, 67
134, 83
144, 100
165, 101
193, 126
270, 220
246, 152
164, 100
119, 74
87, 44
40, 29
16, 10
12, 8
11, 6
22, 11
11, 8
8, 6
11, 6
28, 17
58, 45
84, 52
104, 65
96, 77
88, 65
3, 1
2, 2
4, 2
1, 1
1, 1
1, 1
1, 1
5, 3
5, 4
9, 5
9, 6
4, 2
8, 3
16, 10
16, 10
10, 8
4, 2
6, 3
51, 40
65, 41
66, 47
77, 48
114, 94
79, 55
68, 43
75, 52
114, 78
110, 75
76, 50
53, 36
53, 44
39, 32
18, 9
28, 18
175, 113
145, 97
116, 68
33, 21
3, 2
2, 1
3, 2
2, 2
3, 2
3, 2
3, 1
3, 2
24, 16
35, 22
75, 52
157, 104
114, 69
101, 66
80, 45
60, 38
60, 50
69, 45
80, 53
100, 76
118, 85
98, 61
71, 46
56, 38
63, 51
79, 53
141, 126
137, 86
158, 101

