x1, y1, x2, y2, d, a, t, dc
175, 9, 56, 5, 118.559, 1.532, 0, 0.999
58, 11, 70, 15, 12.834, -1.912, 0, 0.942
71, 12, 77, 6, 8.596, -0.809, 0, 0.723
21, 21, 19, 24, 3.408, 2.810, 0, 0.326
21, 21, 123, 184, 192.021, -2.580, 0, 0.533
76, 29, 70, 15, 15.476, 0.413, 0, 0.401
29, 36, 29, 40, 3.366, 2.985, 0, 0.156
29, 36, 29, 40, 3.366, 2.985, 0, 0.156
50, 40, 18, 168, 131.554, 2.895, 0, 0.244
32, 42, 32, 45, 3.060, -3.072, 0, 0.069
74, 51, 60, 38, 19.844, 0.829, 0, 0.737
34, 59, 156, 128, 140.344, -2.083, 0, 0.872
41, 60, 41, 65, 4.112, -3.063, 0, 0.079
161, 124, 139, 179, 59.513, 2.756, 0, 0.376
7, 154, 32, 45, 112.497, -0.220, 0, 0.218
114, 155, 7, 168, 107.922, 1.693, 0, 0.993
74, 12, 57, 12, 16.805, 1.551, 0, 1.000
176, 15, 46, 41, 132.832, 1.769, 0, 0.980
167, 24, 166, 26, 2.833, 2.971, 0, 0.170
132, 29, 130, 33, 3.771, 2.659, 0, 0.464
71, 30, 68, 37, 7.534, 2.788, 0, 0.346
133, 39, 134, 43, 3.672, -2.980, 0, 0.161
79, 42, 74, 44, 5.164, 1.888, 0, 0.950
115, 58, 102, 74, 20.538, 2.456, 0, 0.633
168, 124, 171, 127, 3.749, -2.331, 0, 0.725
163, 127, 166, 130, 3.647, -2.288, 0, 0.754
163, 127, 166, 130, 3.647, -2.288, 0, 0.754
131, 20, 63, 34, 69.722, 1.779, 0, 0.978
56, 21, 54, 27, 6.808, 2.885, 0, 0.254
127, 23, 127, 27, 3.970, 3.060, 0, 0.081
159, 24, 136, 111, 89.207, 2.880, 0, 0.259
127, 30, 127, 34, 3.884, -3.105, 0, 0.036
48, 37, 125, 165, 149.280, -2.601, 0, 0.515
111, 54, 119, 31, 24.109, -0.332, 0, 0.326
39, 67, 28, 44, 25.284, 0.436, 0, 0.423
39, 67, 39, 71, 4.112, -2.999, 0, 0.142
102, 69, 102, 74, 5.400, -2.999, 0, 0.142
102, 69, 106, 56, 13.282, -0.323, 0, 0.318
152, 123, 156, 128, 6.380, -2.398, 0, 0.677
19, 11, 77, 63, 78.064, -2.306, 0, 0.742
65, 36, 63, 40, 4.503, 2.691, 0, 0.436
29, 43, 10, 128, 86.720, 2.921, 0, 0.219
29, 43, 119, 138, 130.796, -2.379, 0, 0.691
183, 46, 184, 49, 2.933, -2.780, 0, 0.354
63, 48, 60, 49, 3.155, 1.830, 0, 0.966
120, 48, 85, 55, 36.066, 1.778, 0, 0.979
120, 48, 48, 21, 76.827, 1.220, 0, 0.939
142, 115, 88, 74, 68.529, 0.919, 0, 0.795
38, 155, 114, 171, 77.438, -1.770, 0, 0.980
38, 155, 35, 57, 98.327, 0.029, 0, 0.029
8, 158, 183, 15, 226.227, -0.887, 0, 0.775
67, 7, 74, 44, 37.545, -2.965, 0, 0.176
37, 12, 36, 17, 4.468, 3.105, 0, 0.037
122, 36, 122, 38, 1.225, -2.913, 0, 0.226
66, 42, 107, 48, 41.056, -1.717, 0, 0.989
140, 65, 140, 66, 0.850, 2.841, 0, 0.296
140, 65, 29, 47, 113.297, 1.405, 0, 0.986
7, 169, 12, 171, 5.667, -2.016, 0, 0.903
25, 5, 23, 6, 2.697, 1.814, 0, 0.970
155, 7, 155, 7, 1.093, -2.428, 0, 0.654
168, 7, 166, 9, 2.368, 2.451, 0, 0.637
55, 24, 51, 21, 5.203, 0.851, 0, 0.752
56, 40, 55, 42, 1.908, 2.688, 0, 0.438
49, 33, 56, 18, 16.196, -0.434, 0, 0.420
49, 33, 52, 34, 2.694, -1.779, 0, 0.978
166, 128, 10, 128, 156.630, 1.572, 0, 1.000
48, 16, 45, 13, 4.140, 0.679, 0, 0.628
74, 41, 72, 42, 2.610, 2.127, 0, 0.849
145, 27, 145, 28, 0.484, -3.035, 0, 0.107
176, 5, 175, 6, 1.536, 2.096, 1, 0.865
77, 6, 75, 6, 2.255, 1.616, 1, 0.999
58, 16, 71, 7, 16.008, -0.963, 1, 0.821
51, 21, 114, 43, 66.506, -1.906, 1, 0.944
