x1, y1, x2, y2, d, a, t
85, 2, 82, 18, 15.995, 2.980, 0
85, 6, 74, 10, 11.371, 1.981, 0
9, 7, 4, 18, 12.223, 2.661, 0
13, 4, 11, 17, 13.351, 3.021, 1
4, 18, 15, 16, 11.449, -1.393, 1
64, 24, 62, 14, 10.512, 0.231, 1
118, 25, 116, 33, 8.453, 2.901, 1
83, 31, 80, 45, 13.501, 2.942, 1
13, 39, 7, 50, 11.950, 2.645, 1
26, 25, 23, 34, 10.002, 2.766, 1
29, 37, 28, 47, 10.838, 2.994, 1
74, 16, 74, 25, 9.383, -3.084, 1
20, 44, 16, 54, 9.865, 2.755, 1
21, 12, 17, 23, 11.601, 2.781, 1
105, 30, 111, 36, 8.369, -2.363, 1
11, 50, 8, 59, 9.432, 2.819, 1
22, 31, 15, 40, 10.631, 2.484, 1
22, 31, 15, 40, 10.631, 2.484, 1
47, 54, 36, 53, 11.586, 1.504, 1
75, 20, 91, 22, 16.241, -1.684, 2
110, 26, 100, 34, 12.905, 2.210, 2
15, 67, 38, 68, 22.372, -1.609, 2
16, 70, 35, 71, 19.239, -1.633, 2
5, 81, 19, 64, 21.972, -0.694, 2
16, 54, 38, 52, 21.830, -1.510, 2
148, 5, 151, 19, 13.614, -2.909, 2
156, 13, 143, 2, 16.511, 0.852, 2
62, 14, 61, 5, 9.032, 0.106, 3
27, 20, 37, 24, 11.284, -1.918, 3
160, 27, 156, 35, 8.500, 2.647, 3
143, 2, 148, 9, 8.891, -2.522, 3
25, 3, 32, 7, 7.718, -2.128, 3
147, 8, 152, 16, 9.116, -2.592, 3
24, 74, 22, 82, 8.096, 2.887, 3
27, 92, 18, 100, 11.860, 2.328, 3
149, 40, 153, 46, 7.828, -2.573, 3
6, 67, 5, 75, 7.971, 3.043, 3
59, 88, 68, 96, 11.810, -2.331, 3
151, 19, 154, 26, 7.583, -2.744, 3
31, 36, 23, 38, 8.274, 1.788, 3
55, 41, 41, 26, 20.927, 0.730, 4
39, 71, 21, 62, 19.996, 1.106, 4
25, 8, 29, 29, 20.840, -2.957, 4
34, 71, 21, 67, 13.768, 1.245, 4
11, 16, 27, 11, 16.481, -1.285, 4
68, 40, 74, 29, 12.383, -0.441, 4
30, 63, 30, 49, 13.791, 0.044, 4
86, 3, 87, 17, 13.268, -3.070, 5
69, 16, 61, 7, 12.573, 0.733, 5
59, 51, 67, 66, 17.358, -2.674, 5
67, 26, 68, 8, 17.209, -0.042, 5
51, 22, 44, 37, 15.731, 2.684, 5
35, 72, 22, 66, 13.493, 1.150, 5
49, 60, 39, 66, 12.045, 2.090, 5
56, 92, 67, 95, 12.197, -1.834, 6
45, 13, 35, 18, 11.884, 2.059, 6
78, 37, 86, 41, 9.324, -2.024, 6
52, 19, 62, 29, 14.663, -2.307, 6
67, 22, 65, 31, 9.615, 2.990, 6
67, 42, 66, 28, 14.792, 0.065, 6
26, 30, 37, 25, 11.491, -1.115, 6
35, 15, 40, 31, 16.964, -2.815, 7
67, 45, 84, 41, 17.557, -1.295, 7
59, 53, 66, 65, 14.323, -2.654, 7
34, 9, 30, 26, 17.360, 2.889, 7
62, 36, 74, 48, 16.781, -2.356, 7
20, 31, 29, 16, 17.495, -0.558, 7
26, 37, 12, 24, 18.817, 0.810, 7
85, 15, 104, 16, 18.381, -1.661, 7
28, 84, 13, 76, 17.266, 1.084, 7
43, 25, 42, 36, 11.230, 3.023, 7
15, 32, 19, 49, 17.948, -2.891, 8
13, 94, 24, 85, 14.135, -0.964, 8
5, 32, 7, 49, 16.974, -3.009, 8
34, 68, 31, 82, 13.874, 2.934, 9
32, 38, 40, 48, 12.829, -2.428, 9
37, 90, 26, 84, 12.591, 1.121, 9
24, 21, 35, 26, 11.288, -1.991, 9
43, 35, 51, 48, 16.065, -2.581, 9
60, 80, 47, 93, 18.728, 2.406, 10
9, 11, 22, 9, 12.814, -1.417, 10
31, 159, 16, 171, 19.505, 2.225, 10
16, 28, 5, 46, 21.542, 2.589, 11
56, 22, 43, 6, 20.841, 0.643, 11
112, 12, 103, 21, 13.091, 2.410, 11
3, 43, 8, 44, 5.487, -1.750, 12
103, 21, 107, 20, 3.640, -1.259, 12
4, 46, 10, 47, 5.871, -1.740, 12
84, 4, 87, 5, 3.738, -1.820, 12
