nm, pm
73, 70
81, 66
74, 72
93, 76
51, 50
51, 45
75, 66
69, 63
69, 63
52, 49
37, 35
34, 28
38, 32
32, 27
31, 25
36, 29
40, 32
35, 30
44, 37
51, 41
47, 38
36, 35
20, 17
12, 9
11, 8
17, 17
30, 30
31, 26
32, 29
47, 45
59, 53
68, 55
81, 79
92, 80
97, 87
113, 112
149, 118
134, 123
97, 95
97, 91
95, 88
80, 78
56, 49
45, 44
48, 45
60, 57
55, 54
54, 50
63, 58
71, 65
86, 82
88, 84
89, 73
89, 72
72, 58
23, 21
21, 18
33, 30
81, 80
83, 72
87, 84
75, 72
58, 51
64, 63
81, 76
72, 71
50, 50
53, 49
61, 59
67, 61
51, 48
40, 36
40, 39
43, 35
51, 49
58, 57
55, 52
66, 55
61, 55
49, 46
68, 62
79, 69
78, 74
54, 51
55, 50
60, 50
65, 53
54, 50
77, 77
118, 116
110, 102
95, 81
62, 60
52, 51
52, 47
35, 27
37, 34
40, 34
38, 34
25, 25
44, 43
87, 84
85, 85
105, 101
119, 111
88, 86
78, 74
81, 72
55, 52
63, 48
62, 57
69, 56
78, 66
81, 66
91, 87
85, 82
83, 77
100, 76
107, 106
109, 88
101, 95
108, 98

