kpts, pt, std, mean
118, 0.04524, 17.278, 80.661
150, 0.04759, 29.499, 86.101
139, 0.04445, 32.422, 87.962
162, 0.04693, 40.330, 96.585
155, 0.04894, 37.782, 94.817
89, 0.03417, 29.899, 81.526
108, 0.03712, 27.190, 82.833
147, 0.04914, 29.338, 86.787
132, 0.04537, 24.505, 85.473
135, 0.04466, 13.979, 75.842
92, 0.03478, 18.730, 73.936
65, 0.03105, 24.553, 74.916
62, 0.02808, 22.857, 74.464
66, 0.02888, 22.975, 74.764
57, 0.02294, 22.820, 74.930
63, 0.02670, 24.078, 76.250
71, 0.02915, 23.942, 77.638
71, 0.02765, 24.035, 77.737
63, 0.02489, 19.892, 76.775
90, 0.03594, 15.306, 74.361
82, 0.03209, 12.884, 71.945
83, 0.02885, 13.084, 71.881
67, 0.02849, 14.070, 71.346
26, 0.01679, 9.292, 68.471
22, 0.01631, 8.531, 68.571
20, 0.01773, 8.285, 68.739
59, 0.02930, 8.733, 71.964
58, 0.03197, 9.067, 69.728
49, 0.03003, 9.021, 68.528
86, 0.04755, 11.093, 70.073
108, 0.03621, 20.356, 77.502
130, 0.04457, 25.252, 84.249
135, 0.04840, 26.956, 86.099
171, 0.05095, 30.444, 89.783
179, 0.05785, 33.433, 92.991
176, 0.06022, 34.772, 96.964
258, 0.07603, 31.712, 98.015
262, 0.07401, 31.299, 96.938
244, 0.06919, 30.110, 96.289
193, 0.06122, 26.606, 87.598
192, 0.06180, 22.167, 82.673
158, 0.04702, 18.753, 80.030
134, 0.05074, 12.755, 74.997
104, 0.04575, 12.101, 75.059
75, 0.03304, 11.446, 75.441
99, 0.03871, 12.733, 76.260
105, 0.04426, 12.550, 74.329
100, 0.03940, 10.912, 73.602
100, 0.03872, 12.317, 76.257
134, 0.04671, 15.407, 80.166
142, 0.06141, 20.665, 84.395
178, 0.06971, 26.088, 89.519
181, 0.05683, 25.660, 90.009
171, 0.05201, 24.464, 88.272
144, 0.04831, 24.374, 87.102
126, 0.04001, 23.249, 85.090
41, 0.02450, 9.065, 71.808
36, 0.02025, 9.589, 72.442
165, 0.05712, 10.868, 77.979
154, 0.05406, 11.329, 77.678
165, 0.05749, 10.977, 76.651
146, 0.04995, 10.397, 75.822
128, 0.04636, 11.258, 75.825
93, 0.03592, 10.936, 74.662
145, 0.04698, 11.293, 79.937
167, 0.05810, 11.425, 78.623
117, 0.04315, 10.671, 76.059
79, 0.03449, 10.878, 75.161
108, 0.04656, 10.833, 74.568
130, 0.05359, 10.787, 80.545
139, 0.04911, 11.536, 80.726
80, 0.03522, 11.632, 78.598
80, 0.03012, 11.649, 76.192
86, 0.03384, 19.301, 77.733
82, 0.03162, 20.450, 79.154
124, 0.04582, 16.541, 79.505
104, 0.03571, 23.551, 82.975
106, 0.04037, 28.380, 83.783
121, 0.04766, 27.346, 83.404
109, 0.03482, 21.245, 80.019
111, 0.03864, 17.736, 77.488
137, 0.04847, 29.908, 87.980
144, 0.04936, 28.551, 88.150
154, 0.05210, 22.879, 85.705
102, 0.03342, 17.989, 78.593
112, 0.04021, 15.798, 79.556
101, 0.03525, 16.842, 80.633
120, 0.04149, 17.558, 81.142
109, 0.03932, 18.641, 82.953
254, 0.07515, 30.730, 105.930
229, 0.07277, 29.583, 95.902
189, 0.06400, 26.855, 89.768
170, 0.05377, 23.543, 87.811
108, 0.04232, 12.035, 80.093
96, 0.04143, 10.670, 78.263
75, 0.03196, 10.877, 77.693
59, 0.02875, 10.860, 77.193
83, 0.03234, 10.859, 75.266
63, 0.03132, 9.859, 74.348
67, 0.02942, 11.831, 76.466
60, 0.02996, 12.805, 79.257
144, 0.04481, 16.131, 85.928
154, 0.05430, 14.348, 87.463
169, 0.05431, 18.867, 88.671
239, 0.06957, 36.791, 99.254
211, 0.06458, 30.029, 92.888
160, 0.04861, 25.388, 88.699
172, 0.06041, 22.766, 87.277
137, 0.04599, 20.976, 85.186
97, 0.03742, 22.574, 84.334
104, 0.03424, 24.214, 85.042
119, 0.04135, 29.129, 87.597
132, 0.04835, 27.626, 84.916
147, 0.04877, 28.032, 84.520
150, 0.05022, 29.698, 85.314
190, 0.06186, 22.456, 87.521
166, 0.05311, 24.832, 91.460
161, 0.05086, 29.079, 96.263
177, 0.05525, 29.632, 97.896
195, 0.06499, 34.471, 102.212
181, 0.05970, 35.420, 102.834
206, 0.06427, 37.537, 104.325
195, 0.06084, 38.071, 105.143

