x1, y1, x2, y2, d, a, t, dc
49, 33, 48, 33, 1.193, 2.001, 0, 0.909
73, 33, 75, 40, 7.745, -2.814, 0, 0.322
73, 34, 72, 41, 6.880, 2.985, 0, 0.156
97, 40, 96, 46, 5.833, 2.936, 0, 0.204
141, 65, 145, 118, 53.325, -3.060, 0, 0.082
49, 163, 151, 175, 102.100, -1.679, 0, 0.994
57, 40, 55, 42, 2.899, 2.393, 0, 0.680
132, 173, 50, 167, 82.553, 1.499, 0, 0.997
166, 127, 169, 130, 4.179, -2.443, 0, 0.643
13, 163, 18, 166, 6.068, -2.140, 0, 0.842
77, 60, 76, 63, 3.414, 2.628, 0, 0.491
152, 124, 131, 172, 52.207, 2.738, 0, 0.393
77, 60, 76, 63, 4.170, 2.743, 0, 0.388
65, 41, 63, 49, 8.413, 2.920, 0, 0.219
67, 42, 66, 46, 3.701, 2.882, 0, 0.257
129, 34, 129, 38, 3.469, 3.122, 0, 0.020
122, 36, 121, 38, 1.948, 2.733, 0, 0.397
83, 33, 86, 37, 4.759, -2.632, 0, 0.488
38, 155, 128, 164, 90.112, -1.678, 0, 0.994
120, 48, 127, 44, 7.939, -1.061, 0, 0.873
82, 49, 44, 15, 51.154, 0.843, 0, 0.747
136, 25, 136, 29, 4.020, -3.049, 0, 0.093
122, 24, 114, 21, 8.304, 1.218, 0, 0.939
124, 18, 123, 22, 3.494, 2.998, 0, 0.143
40, 48, 40, 52, 3.724, -3.094, 0, 0.047
122, 171, 109, 68, 103.451, 0.127, 0, 0.127
21, 158, 26, 158, 4.963, -1.558, 0, 1.000
40, 47, 40, 51, 3.545, -3.124, 0, 0.017
23, 143, 23, 143, 0.952, -2.124, 0, 0.851
145, 124, 148, 128, 4.723, -2.459, 0, 0.631
142, 12, 141, 13, 2.138, 2.432, 0, 0.651
86, 42, 130, 34, 44.674, -1.384, 0, 0.983
130, 45, 132, 49, 5.160, -2.759, 0, 0.373
153, 115, 155, 118, 3.355, -2.374, 0, 0.694
154, 116, 163, 114, 8.657, -1.320, 0, 0.969
148, 167, 48, 51, 153.075, 0.711, 0, 0.652
121, 54, 121, 56, 2.973, 2.944, 0, 0.196
159, 16, 81, 55, 87.605, 2.030, 0, 0.897
168, 16, 76, 51, 98.336, 1.933, 0, 0.935
147, 42, 146, 46, 4.264, 2.959, 0, 0.181
157, 130, 160, 134, 4.661, -2.340, 0, 0.719
27, 15, 25, 15, 2.324, 1.403, 0, 0.986
54, 72, 54, 75, 2.930, -3.028, 0, 0.114
37, 163, 156, 117, 127.378, -1.201, 0, 0.933
53, 68, 54, 70, 2.223, -2.584, 0, 0.529
37, 147, 147, 167, 112.103, -1.752, 0, 0.984
140, 157, 137, 164, 7.772, 2.714, 0, 0.415
122, 58, 110, 76, 21.394, 2.535, 0, 0.570
107, 44, 106, 46, 2.422, 2.813, 0, 0.323
69, 173, 13, 160, 56.544, 1.355, 0, 0.977
45, 155, 46, 155, 1.753, -1.058, 0, 0.872
114, 65, 46, 23, 79.267, 1.016, 0, 0.850
56, 11, 53, 14, 4.784, 2.252, 1, 0.777
28, 46, 28, 51, 4.525, 3.048, 1, 0.094
71, 41, 73, 46, 5.396, -2.918, 1, 0.221
134, 15, 135, 18, 2.507, -2.760, 1, 0.372
76, 63, 75, 66, 3.021, 2.949, 1, 0.191
50, 167, 20, 142, 38.475, 0.878, 1, 0.770
145, 118, 39, 75, 114.291, 1.186, 1, 0.927
96, 46, 96, 52, 5.796, 3.057, 1, 0.084
121, 38, 121, 36, 1.608, 0.075, 1, 0.075
47, 16, 44, 21, 5.124, 2.635, 1, 0.485
72, 61, 148, 118, 94.596, -2.219, 1, 0.797
169, 130, 50, 169, 125.635, 1.884, 1, 0.951
18, 166, 23, 170, 5.724, -2.248, 1, 0.779
46, 25, 147, 23, 101.178, -1.544, 1, 1.000
129, 38, 127, 41, 3.825, 2.554, 1, 0.554
128, 164, 127, 165, 1.631, 2.106, 1, 0.860
151, 175, 38, 72, 152.170, 0.830, 1, 0.738
106, 46, 87, 48, 19.438, 1.675, 1, 0.995
59, 39, 51, 44, 9.258, 2.218, 1, 0.798
44, 15, 82, 59, 57.832, -2.422, 1, 0.659
131, 172, 143, 117, 56.181, -0.200, 1, 0.198
62, 52, 59, 60, 7.943, 2.753, 1, 0.379
121, 56, 121, 60, 3.845, -2.951, 1, 0.189
86, 37, 85, 41, 3.802, 3.044, 1, 0.098
23, 143, 23, 144, 0.579, 2.799, 1, 0.336
40, 52, 39, 55, 3.732, 3.001, 1, 0.140
125, 30, 105, 47, 26.694, 2.282, 1, 0.757
101, 68, 102, 73, 5.555, -3.035, 1, 0.106
121, 25, 112, 55, 31.575, 2.873, 1, 0.266
151, 161, 46, 12, 182.317, 0.614, 1, 0.576
81, 55, 37, 48, 44.082, 1.421, 1, 0.989
180, 20, 179, 23, 3.310, 2.900, 1, 0.239
76, 51, 21, 17, 65.180, 1.014, 1, 0.849
132, 49, 133, 53, 3.633, -2.868, 1, 0.270
34, 41, 33, 46, 4.411, 2.882, 1, 0.257
160, 134, 36, 23, 166.396, 0.840, 1, 0.745
155, 118, 26, 33, 154.010, 0.988, 1, 0.835
110, 76, 137, 41, 43.698, -0.670, 1, 0.621
158, 168, 45, 39, 171.414, 0.719, 1, 0.658
163, 114, 20, 131, 143.115, 1.692, 1, 0.993
140, 33, 137, 31, 3.217, 0.929, 1, 0.801
48, 51, 47, 55, 4.570, 2.945, 1, 0.195
19, 45, 12, 26, 20.668, 0.379, 1, 0.370
51, 54, 37, 28, 29.523, 0.524, 1, 0.501
146, 46, 148, 32, 14.495, -0.136, 1, 0.136
46, 12, 44, 18, 6.559, 2.719, 2, 0.411
53, 14, 116, 22, 63.745, -1.704, 2, 0.991
68, 36, 67, 40, 4.436, 2.842, 2, 0.295
28, 50, 28, 53, 3.276, -3.112, 2, 0.030
73, 46, 73, 53, 6.513, -3.071, 2, 0.071
125, 28, 113, 50, 24.527, 2.634, 2, 0.486
122, 166, 172, 21, 153.217, -0.333, 2, 0.327
127, 41, 127, 46, 4.638, 3.114, 2, 0.027
59, 40, 57, 45, 5.822, 2.760, 2, 0.372
164, 18, 162, 21, 3.922, 2.669, 2, 0.455
96, 52, 94, 58, 6.554, 2.890, 2, 0.249
110, 64, 111, 70, 5.529, -3.046, 2, 0.095
85, 41, 85, 45, 3.878, -3.126, 2, 0.015
137, 31, 138, 31, 0.503, -2.086, 2, 0.870
122, 49, 122, 54, 4.703, -3.048, 2, 0.093
87, 48, 86, 54, 6.377, 3.038, 2, 0.104
45, 39, 101, 77, 67.731, -2.160, 2, 0.831
87, 66, 124, 32, 50.361, -0.852, 2, 0.753
39, 75, 51, 172, 96.976, -3.017, 2, 0.124
127, 165, 125, 166, 1.716, 1.838, 2, 0.965
51, 22, 98, 52, 55.587, -2.136, 2, 0.844
121, 36, 130, 14, 24.419, -0.389, 2, 0.380
135, 172, 150, 14, 158.821, -0.094, 2, 0.094
132, 25, 59, 54, 78.783, 1.949, 2, 0.929
135, 18, 119, 174, 156.850, 3.034, 2, 0.107
121, 60, 116, 65, 6.775, 2.295, 2, 0.749
33, 46, 176, 52, 142.634, -1.617, 2, 0.999
51, 44, 103, 57, 53.381, -1.814, 2, 0.971
91, 62, 92, 65, 4.051, -2.952, 2, 0.188
