x1, y1, x2, y2
93, 164, 81, 167
93, 156, 132, 148
106, 168, 126, 151
85, 145, 91, 149
77, 153, 85, 156
88, 156, 114, 142
78, 128, 66, 139
120, 164, 129, 162
101, 142, 116, 151
83, 156, 87, 163
159, 154, 139, 137
122, 160, 81, 140
141, 151, 148, 153
44, 142, 51, 147
137, 152, 169, 174
52, 133, 46, 131
102, 119, 106, 113
71, 86, 68, 86
169, 162, 141, 146
107, 119, 107, 121
14, 93, 19, 99
94, 108, 88, 132
158, 54, 155, 54
155, 49, 150, 46
68, 72, 66, 72
133, 139, 170, 154
73, 119, 45, 96
168, 159, 161, 156
42, 18, 37, 15
58, 43, 56, 42
126, 151, 92, 135
91, 149, 103, 163
127, 152, 127, 154
123, 165, 118, 158
129, 162, 144, 168
123, 174, 138, 157
107, 151, 85, 143
107, 121, 100, 108
14, 37, 39, 60
85, 131, 94, 136
126, 136, 126, 135
61, 153, 55, 153
65, 137, 92, 127
169, 173, 149, 154
132, 158, 130, 140
138, 153, 144, 153
150, 46, 147, 47
68, 86, 38, 75
103, 112, 101, 109
132, 26, 129, 26
45, 96, 45, 98
169, 174, 156, 168
152, 37, 148, 36
70, 153, 67, 152
155, 54, 152, 52
51, 104, 47, 99
94, 153, 101, 157
107, 156, 104, 150
144, 151, 118, 135
82, 169, 85, 171
144, 168, 152, 170
118, 158, 133, 169
41, 118, 42, 119
103, 119, 118, 122
32, 88, 36, 93
94, 136, 84, 128
71, 140, 60, 134
85, 143, 122, 156
68, 158, 81, 117
61, 112, 62, 113
147, 47, 144, 41
39, 60, 37, 58
129, 26, 128, 27
74, 71, 71, 70
148, 36, 144, 36
145, 160, 152, 164
114, 162, 120, 164
70, 118, 68, 112
42, 119, 44, 120
98, 112, 120, 129
81, 117, 79, 115
125, 157, 135, 161
122, 156, 120, 140
118, 135, 84, 122
152, 170, 153, 153
38, 129, 45, 130
97, 103, 92, 101
103, 128, 106, 130
128, 27, 124, 25
120, 118, 116, 119
144, 36, 142, 35
84, 144, 92, 148
36, 93, 41, 100
71, 70, 65, 68
118, 122, 96, 98
120, 165, 150, 146
173, 166, 154, 172
42, 119, 37, 117
104, 123, 118, 131
92, 148, 80, 162
84, 122, 80, 122
56, 120, 62, 124
116, 119, 113, 119
91, 160, 86, 169
49, 112, 53, 115
85, 143, 96, 151
41, 100, 50, 101
124, 25, 120, 23
77, 141, 61, 107
108, 169, 113, 170
63, 52, 59, 54
113, 99, 109, 98
63, 52, 59, 50
124, 113, 120, 113
154, 172, 135, 162
116, 142, 98, 132
97, 146, 100, 148
63, 118, 76, 127
53, 38, 48, 37
53, 113, 61, 119
94, 106, 91, 104
80, 162, 80, 163
135, 149, 140, 152
139, 33, 134, 29
75, 78, 71, 76
124, 155, 124, 154
120, 113, 116, 113
120, 23, 116, 19
113, 119, 108, 118
109, 98, 106, 97
50, 101, 56, 112
124, 90, 120, 90
59, 54, 53, 54
114, 129, 124, 139
61, 119, 61, 125
126, 145, 141, 148
71, 112, 69, 115
64, 97, 39, 87
110, 117, 120, 125
48, 37, 44, 33
48, 37, 30, 17
124, 154, 129, 162
42, 121, 47, 127
78, 120, 81, 124
140, 152, 138, 148
134, 29, 131, 27
57, 64, 54, 64
71, 76, 69, 74
80, 163, 79, 163
117, 21, 114, 19
144, 96, 124, 102
100, 148, 99, 146
63, 152, 62, 152
132, 154, 132, 154
120, 90, 117, 89
106, 97, 103, 97
29, 83, 38, 90
122, 128, 141, 140
124, 139, 122, 141
99, 146, 100, 152
61, 98, 45, 91
74, 97, 72, 81
81, 124, 70, 97
69, 115, 83, 134
82, 132, 56, 112
141, 140, 125, 129
143, 157, 150, 159
30, 17, 27, 15
90, 95, 86, 100
120, 125, 110, 116
44, 33, 44, 32
141, 148, 134, 147
144, 151, 150, 151
136, 157, 123, 153
69, 74, 67, 73
143, 70, 142, 71
79, 163, 78, 164
66, 88, 96, 79
139, 22, 142, 21
142, 96, 123, 101
123, 153, 174, 169
58, 142, 56, 144
118, 143, 163, 150
49, 63, 46, 65
142, 71, 103, 32
44, 32, 46, 85
83, 134, 105, 155
37, 65, 32, 63
96, 79, 81, 91
144, 80, 135, 79
56, 112, 69, 148
24, 71, 44, 86
142, 21, 131, 17
72, 81, 85, 121
45, 97, 75, 123
69, 111, 64, 111
123, 128, 127, 127
173, 100, 170, 99
80, 100, 77, 105
49, 108, 57, 117
88, 129, 94, 132
59, 122, 57, 121
131, 55, 127, 54
133, 67, 129, 66
56, 144, 53, 143
75, 123, 64, 102
68, 166, 65, 166
92, 57, 88, 56
39, 29, 37, 28
137, 59, 133, 59
95, 91, 92, 89
135, 79, 133, 78
148, 68, 145, 67
163, 150, 149, 148
27, 77, 22, 53
71, 90, 70, 88
96, 136, 94, 135
96, 136, 75, 108
101, 37, 100, 35
19, 86, 16, 86
65, 166, 82, 144
57, 105, 81, 142
88, 56, 85, 54
65, 136, 88, 103
110, 91, 72, 78
52, 53, 49, 51
64, 102, 59, 107
109, 141, 110, 140
129, 66, 127, 65
57, 121, 31, 107
48, 51, 46, 50
101, 33, 100, 32
75, 108, 73, 108
70, 87, 70, 85
22, 53, 21, 51
95, 115, 93, 115
89, 103, 87, 102
94, 135, 91, 139
61, 71, 59, 70
121, 151, 118, 150
85, 54, 83, 53
104, 17, 102, 17
63, 168, 62, 169
52, 72, 50, 71
31, 19, 28, 17
107, 90, 104, 88
72, 78, 71, 77
59, 107, 44, 106
58, 56, 58, 54
96, 125, 72, 119
98, 125, 73, 118
46, 50, 43, 49
100, 32, 101, 30
73, 108, 72, 105
70, 85, 67, 85
59, 70, 56, 67
41, 109, 40, 108
71, 77, 69, 77
104, 88, 120, 80
102, 17, 97, 17
44, 106, 49, 113
87, 103, 83, 100
87, 102, 84, 100
118, 150, 114, 151
29, 20, 27, 19
58, 54, 53, 53
43, 49, 18, 46
100, 87, 97, 86
101, 30, 99, 29
40, 108, 30, 111
72, 105, 69, 105
56, 67, 53, 67
49, 113, 66, 125
120, 80, 132, 69
97, 17, 95, 16
114, 151, 112, 150
53, 53, 51, 52
88, 115, 85, 114
68, 76, 65, 75
40, 47, 36, 46
101, 140, 98, 140
97, 86, 94, 85
53, 67, 50, 65
180, 80, 176, 80
85, 114, 83, 113
51, 52, 48, 51
65, 75, 43, 82
112, 150, 108, 150
105, 67, 102, 73
36, 46, 34, 45
95, 29, 91, 29
64, 125, 62, 125
102, 73, 98, 71
94, 85, 90, 86
63, 82, 60, 81
50, 65, 48, 63
83, 21, 80, 20
176, 80, 173, 78
83, 113, 80, 112
74, 49, 71, 48
154, 62, 151, 62
98, 71, 94, 72
34, 45, 31, 44
97, 66, 93, 65
108, 126, 105, 125
60, 81, 56, 81
80, 112, 116, 112
52, 59, 47, 58
77, 77, 73, 74
94, 72, 101, 50
94, 72, 91, 71
44, 63, 42, 62
87, 28, 84, 28
47, 58, 45, 55
73, 74, 70, 73
56, 81, 53, 80
74, 110, 70, 110
128, 26, 125, 24
130, 123, 128, 122
83, 120, 81, 119
83, 69, 80, 67
67, 46, 65, 44
98, 134, 113, 121
